"taxa"	"Pump-NICUa"	"Mattress-NICUa"	"Rail-NICUa"	"Monitor-NICUa"	"Ventilator-NICUa"	"Pump-NICUb"	"Mattress-NICUb"	"Rail-NICUb"	"Monitor-NICUb"	"Ventilator-NICUb"	"Mobiles-NICUab"	"Handle-NICUab"	"DrugStation-NICUab"
"Kineococcus"	0	0	0	2.90672325088e-05	0	0	0	2.90672325088e-05	0	2.90672325088e-05	0	0	8.72016975264e-05
"Kineosporia"	0	2.90672325088e-05	0	0	2.90672325088e-05	0	0.000145336162544	2.90672325088e-05	2.90672325088e-05	2.90672325088e-05	0.000145336162544	0.000668546347702	0.000261605092579
"Kingella"	8.72016975264e-05	0	0	0	2.90672325088e-05	8.72016975264e-05	0	2.90672325088e-05	0.000116268930035	0	0.0160160451123	0.000639479115193	0.000145336162544
"Klebsiella"	0	2.90672325088e-05	0	0	0	0	0	8.72016975264e-05	0	0	0	0	0
"Kocuria"	0.00072668081272	8.72016975264e-05	0.000261605092579	0.00473795889893	0.000174403395053	0.00459262273639	0.000174403395053	0.000174403395053	0.00215097520565	0.00095921867279	0.000988285905299	0.00255791646077	0.00180216841555
"Kribbella"	0	0	0	0	0	0	0	0	2.90672325088e-05	0	0	5.81344650176e-05	0
"Ktedonobacter"	0	0	0	0	0	0	0	8.72016975264e-05	5.81344650176e-05	0	0	0	0
"Kurthia"	0.000261605092579	0.00023253786007	0.000319739557597	2.90672325088e-05	0.000145336162544	0	0.000319739557597	0.000290672325088	0.000290672325088	0	0	2.90672325088e-05	0
"Kytococcus"	0	0	0	2.90672325088e-05	5.81344650176e-05	0	0	2.90672325088e-05	2.90672325088e-05	0	0	0.000261605092579	8.72016975264e-05
"Labrys"	0	0	0	0	0	0	2.90672325088e-05	0	0	0	0	0	0
"Laceyella"	0	0	5.81344650176e-05	0	0	0	0	0	0	0	0	0	0
"Lactobacillus"	0.0013080254629	0.000842949742755	0.000261605092579	0.00715053919716	0.00700520303462	0.00508676568904	0.00491236229399	0.00174403395053	0.00654012731448	0.0292997703689	0.00482516059646	0.024852483795	0.00523210185158
