accession	name
NR_113429.1	Halobaculum gomorrense
NR_113428.1	Halobacterium salinarum
NR_113427.1	Halobacterium salinarum
NR_113426.1	Halobacterium noricense
NR_113425.1	Halobacterium jilantaiense
NR_113424.1	Haloarcula vallismortis
NR_113423.1	Haloarcula tradensis
NR_113422.1	Haloarcula salaria
NR_113421.1	Haloarcula marismortui
NR_113420.1	Haloarcula japonica
NR_113419.1	Haloarcula hispanica
NR_113418.1	Haloarcula argentinensis
NR_113417.1	Halarchaeum acidiphilum
NR_113416.1	Halalkalicoccus tibetensis
NR_113415.1	Halalkalicoccus jeotgali
NR_113414.1	Haladaptatus paucihalophilus
NR_113413.1	Haladaptatus litoreus
NR_113412.1	Haladaptatus cibarius
NR_113298.1	Haloarcula quadrata
NR_113297.1	Haloarcula amylolytica
NR_113295.1	Thermococcus celer
NR_113294.1	Pyrococcus furiosus
NR_113292.1	Methanocaldococcus jannaschii
NR_113291.1	Thermococcus litoralis
NR_113218.1	Natronomonas moolapensis
NR_113217.1	Halorubrum ezzemoulense
NR_113216.1	Halorubrum luteum
NR_113215.1	Halorubrum kocurii
NR_113214.1	Halorubrum cibi
NR_113213.1	Halorhabdus tiamatea
NR_113212.1	Halonotius pteroides
NR_113211.1	Haloferax mucosum
NR_113139.1	Halococcus thailandensis
NR_113057.1	Halobacterium salinarum
NR_113056.1	Haloferax mucosum
NR_113055.1	Natrinema gari
NR_112982.1	Methanospirillum hungatei
NR_112910.1	Methanobacterium alcaliphilum
NR_112883.1	Halalkalicoccus jeotgali
NR_112874.1	Haladaptatus paucihalophilus
NR_112873.1	Halobaculum gomorrense
NR_112872.1	Halobaculum gomorrense
NR_112871.1	Natronococcus occultus
NR_112870.1	Halogeometricum pallidum
NR_112869.1	Halorubrum trapanicum
NR_112868.1	Halorubrum lipolyticum
NR_112867.1	Halorubrum ejinorense
NR_112866.1	Halorubrum aidingense
NR_112865.1	Haloplanus natans
NR_112864.1	Halopiger xanaduensis
NR_112863.1	Haloferax sulfurifontis
NR_112862.1	Haloferax elongans
NR_112861.1	Halococcus qingdaonensis
NR_112860.1	Halobacterium jilantaiense
NR_112859.1	Natronorubrum sulfidifaciens
NR_112858.1	Natronorubrum aibiense
NR_112857.1	Natronococcus jeotgali
NR_112856.1	Natrinema pellirubrum
NR_112855.1	Natrinema pallidum
NR_112854.1	Natrinema ejinorense
